"","district","dem_share","dem_win_pct"
"322","ND 00",33.2622649503294,0.535
"323","NH 01",51.2762631403433,57.6625
"324","NJ 02",49.8062185007831,48.655
"325","NJ 11",51.6228968530282,60.02
"326","NM 01",61.109667678827,95.495
"327","NM 02",46.7211170529277,30.965
"328","NV 03",51.5972769145542,59.5625
"329","NV 04",54.5495388827661,75.665
"330","NY 14",80.3204309902707,100
"331","NY 25",60.3413880605857,94.395
"332","OH 12",46.427029971561,28.915
"333","OH 16",43.8363529920377,17.195
"334","PA 01",52.9368948077838,67.2675
"335","PA 02",76.1921395122072,100
"336","PA 03",93.1680966908241,100
"337","PA 04",60.9459095254515,95.2475
"338","PA 05",66.4748955303548,99.445
"339","PA 06",56.211660007054,83.285
"340","PA 07",53.104679845305,68.24
"341","PA 08",47.097680815717,32.4025
"342","PA 09",36.5455464300936,1.9025
"343","PA 10",46.1703496948586,27.785
"344","PA 11",40.1902455611112,6.61
"345","PA 12",33.3830360040229,0.515
"346","PA 13",28.3953089791718,0.04
"347","PA 14",39.6385998420436,5.745
"348","PA 15",31.1486833939989,0.195
"349","PA 16",42.0196619569221,11.0125
"350","PA 17",49.4145505404229,46.53
"351","PA 18",65.7272540323235,99.2225
"352","SC 01",45.477469122069,24.4375
"353","SC 04",39.2008577240856,4.665
"354","SD 00",36.895255841111,2.065
"355","TN 02",34.361644778127,0.755
"356","TN 06",27.9605800032513,0.0575
"357","TN 07",32.5739675950299,0.39
"358","TX 02",47.4380931344793,34.56
"359","TX 03",45.012693683498,22.02
"360","TX 06",46.005717825557,26.7475
"361","TX 21",47.0928456211699,32.675
"362","TX 29",74.5750862042927,99.995
"363","VA 05",46.6011073712813,30.1625
"364","VA 06",39.6230997457714,5.4725
"365","WA 08",53.6106103648373,70.68
"366","WI 01",46.9329768166757,31.7825
"367","WV 03",27.6763051128306,0.0225
